,email_body,subject_line
392,"We have a spreadsheet showing old 2002 plan that everyone agreed to a few months ago before all the fun started.
We have EA, EGM, EIM, EEL, EBS, EES, ENW, Corp., CommodityLogic, and Other broken out by EnronOnline, Operations, IT development and IT infrastructure which is further broken down by expense and capital and totals (we separated out depreciation as well so we could see what was cash and non-cash).
We are currently trying to put together the adjusted or new 2002 Plan along side the above numbers based on the estimates from the last week or so and will try to be done late tonight.
Thanks.
",Quick Update
393,"Hi Sally,   I knocked up a new spreadsheet thats should show our total headcount revision picture from an ENW perspective.
I've filled it with the numbers I know so far.
Regards
",Spreadsheet
394,"Attached are the notes from yesterday's ENW Assistants meeting and the ENW T&E Policy dated August 2001.
Thank you to those of you who were able to make it, and for the great dialogue generated by the agenda.
If you have any questions or feedback about these documents, please give me a call.
You are also welcome at any time to contact your HR representative for a confidential consultation.
Thanks again for your participation.
",Notes from Assistants Meeting
395,"Greg Piper, Sally Beck, and Mark Pickering will be reviewing documents at 5:00pm and have requested that each of you be available in the event there are questions that need to be addressed and need to see you.
Please do not leave.
The ""Daily"" 5:00 Update Meeting is therefore canceled.
",Today's 5:00 Update Meeting - 11/20/01
396,"Andrea -  As I mentioned to you in our conversation this afternoon, I have found another group to rotate to.
It's Project Genesys in EES headed by Wayne Andrews.
I have spoken with Todd Busby with whom I currently work in the Back Office Commercialization team (ENW) and he has agreed for me to move to this project.
I will have all the details (Co#, cost center etc.)
for you by Monday next week.
Pl.
let me know if there is any other information you need from me, or my supervisors.
Thanks,
",Associate Rotation to another group
397,"The following reports have been waiting for your approval for more than 4 days.
Please review.
Owner: Beth W Apollo Report Name: General Expenses - Sept & Oct Days In Mgr.
Queue: 4  Owner: Kevin G Sweeney Report Name: 11/09/2001 Days In Mgr.
Queue: 4
",Expense Reports Awaiting Your Approval
398,"FYI - Attached is the revised spend analysis that Greg and I went over this morning.
Have a great Thanksgiving (and Sally, please let your team go easy on us!).
Kerry
",Revised ENW Spend Analysis
399,"The following reports have been waiting for your approval for more than 4 days.
Please review.
Owner: Beth W Apollo Report Name: General Expenses - Sept & Oct Days In Mgr.
Queue: 5  Owner: Kevin G Sweeney Report Name: 11/09/2001 Days In Mgr.
Queue: 5
",Expense Reports Awaiting Your Approval
400,"The following reports have been waiting for your approval for more than 4 days.
Please review.
Owner: Beth W Apollo Report Name: General Expenses - Sept & Oct Days In Mgr.
Queue: 6  Owner: Kevin G Sweeney Report Name: 11/09/2001 Days In Mgr.
Queue: 6
",Expense Reports Awaiting Your Approval
401,"Dear Nancy, Sally & Janet -  Did you have a wonderful Thanksgiving?
Ours was very nice; Mark's sister, her husband and 2-year old daughter were here from California, and Mark's mom & her husband came in from D.C. (but they stayed in a hotel!).
Luckily, our aunt had the big dinner at her house - no trying to cook among the boxes!
Have you had an opportunity to review the December newsletter?
If so, please let me know of any corrections or changes (Miranda gave me the corrected minutes).
My plan is to drop it off to Sally Walker for copying first thing Monday morning.
It will be crazy around here after noon Monday, and the computer will be off for a few days (Monday night 'til Wednesday night or Thursday) while we get set up in the new house .
.
.if the download didn't work and you need a copy to proof, just let me know and I'll swing by with one in the morning (our closing is not far from you, Nancy, so it won't be a problem).
Thanks!
Robin
",December Newsletter
